#HeroicDeathPlus Data Log - This file stores serialized data on player deaths in the following order:
#HeroicDeathPlus ??? - ???? ???? ???????? ?????? ? ??????? ? ????? ???????:
#Victim|Killer|Murder Weapon|Cause of Death|Location|Timestamp|Death Message
#??????|??????|?????? ????????|??????? ??????|??????????????|?????|????????? ? ??????
#Murder weapon is in the format TypeIDxData, so Red Wool would be 35x14
#Location is in the format (x, y, z), and represents where the victim died.
TheDarwald|||LAVA|Arene (711.0,36.0,-16.0)|06/07/2013 19:22:23 CEST|TheDarwald became obsidian
theodu76|TheDarwald|267x7|ENTITY_ATTACK|Arene (658.0,79.0,-49.0)|06/07/2013 19:23:01 CEST|TheDarwald tue theodu76 avec iron sword
adr725|||FALL|Magellan (-65.0,3.0,-1.0)|06/07/2013 19:23:13 CEST|adr725 took a leap of faith
TheDarwald|sep76|267x67|ENTITY_ATTACK|Arene (693.0,79.0,-4.0)|06/07/2013 19:24:18 CEST|sep76 tue TheDarwald avec iron sword
adr725|||FALL|Magellan (-65.0,2.0,-2.0)|06/07/2013 19:24:19 CEST|adr725 fell to their death
sep76|TheDarwald|261x24|PROJECTILE|Arene (694.0,79.0,3.0)|06/07/2013 19:25:12 CEST|TheDarwald tue sep76 avec bow & arrow
adr725|||FALL|Magellan (-65.0,2.0,-1.0)|06/07/2013 19:25:21 CEST|adr725 took a leap of faith
TheDarwald|||LAVA|Arene (698.0,33.0,-31.0)|06/07/2013 19:25:54 CEST|TheDarwald was killed by lava
TheDarwald|sep76|261x-34|PROJECTILE|Arene (685.0,79.0,-18.0)|06/07/2013 19:26:55 CEST|sep76 tue TheDarwald avec bow & arrow
sep76|||FIRE|Arene (695.0,37.0,15.0)|06/07/2013 19:27:19 CEST|sep76 burned to death
adr725|TheDarwald|267x12|ENTITY_ATTACK|Arene (700.0,79.0,-12.0)|06/07/2013 19:27:23 CEST|TheDarwald tue adr725 avec iron sword
adr725|||FALL|Arene (666.0,42.0,-62.0)|06/07/2013 19:30:55 CEST|adr725 took a leap of faith
steph2905|NicoTCS|267x-107|ENTITY_ATTACK|Arene (694.0,79.0,0.0)|06/07/2013 19:38:54 CEST|NicoTCS a tue steph2905 avec iron sword
steph2905|NicoTCS|261x0|PROJECTILE|Arene (691.0,79.0,-13.0)|06/07/2013 19:39:18 CEST|NicoTCS a tue steph2905 avec bow & arrow
steph2905|||LAVA|Arene (690.0,41.0,-29.0)|06/07/2013 19:39:40 CEST|steph2905 took a bath in a lake of fire
steph2905|NicoTCS|261x-90|PROJECTILE|Arene (703.0,79.0,-55.0)|06/07/2013 19:40:20 CEST|NicoTCS a tue steph2905 avec bow & arrow
steph2905|NicoTCS|261x-86|PROJECTILE|Arene (688.0,79.0,-29.0)|06/07/2013 19:40:33 CEST|NicoTCS a tue steph2905 avec bow & arrow
steph2905|Zombie||ENTITY_ATTACK|Arene (669.0,80.0,-48.0)|06/07/2013 19:40:42 CEST|steph2905 a ete tuee par un Zombie
steph2905|Zombie||ENTITY_ATTACK|Arene (665.0,79.0,-44.0)|06/07/2013 19:41:19 CEST|steph2905 a ete tuee par un Zombie
steph2905|||FIRE|Arene (699.0,35.0,-48.0)|06/07/2013 19:41:36 CEST|steph2905 forgot how to stop, drop and roll
steph2905|NicoTCS|267x-100|ENTITY_ATTACK|Arene (691.0,79.0,-14.0)|06/07/2013 19:41:48 CEST|NicoTCS a tue steph2905 avec iron sword
steph2905|||FIRE|Arene (678.0,37.0,-36.0)|06/07/2013 19:42:09 CEST|steph2905 burned to death
NicoTCS|||FIRE|Arene (674.0,33.0,-41.0)|06/07/2013 19:42:33 CEST|NicoTCS forgot how to stop, drop and roll
steph2905|||FIRE_TICK|Arene (686.0,79.0,-31.0)|06/07/2013 19:42:53 CEST|steph2905 burned to death
steph2905|Skeleton||PROJECTILE|Magellan (-74.0,63.0,316.0)|06/07/2013 19:44:49 CEST|steph2905 a ete tuee par un Skeleton
NicoTCS|||FIRE|Arene (693.0,37.0,-59.0)|06/07/2013 19:44:58 CEST|NicoTCS forgot how to stop, drop and roll
NicoTCS|||FALL|Arene (705.0,52.0,13.0)|06/07/2013 19:45:54 CEST|NicoTCS took a leap of faith
